x: -0.12, y: -0.06, b: 0.050000 
x: -0.12, y: -0.04, b: 0.050000 
x: -0.12, y: -0.02, b: 0.050000 
x: -0.12, y: 0.00, b: 0.050000 
x: -0.12, y: 0.02, b: 0.050000 
x: -0.12, y: 0.04, b: 0.050000 
x: -0.12, y: 0.06, b: 0.050000 
x: -0.12, y: 0.08, b: 0.050000 
x: -0.12, y: 0.10, b: 0.050000 
x: -0.12, y: 0.12, b: 0.050000 
x: -0.12, y: 0.14, b: 0.050000 
x: -0.12, y: 0.16, b: 0.101888 
x: -0.12, y: 0.18, b: 0.198068 
x: -0.12, y: 0.20, b: 0.313820 
x: -0.12, y: 0.22, b: 0.474136 
x: -0.11, y: -0.22, b: 0.050000 
x: -0.11, y: -0.20, b: 0.050000 
x: -0.11, y: -0.18, b: 0.050000 
x: -0.11, y: -0.16, b: 0.050000 
x: -0.11, y: -0.14, b: 0.050000 
x: -0.11, y: -0.12, b: 0.050000 
x: -0.11, y: -0.10, b: 0.050000 
x: -0.11, y: -0.08, b: 0.050000 
x: -0.11, y: -0.06, b: 0.050000 
x: -0.11, y: -0.04, b: 0.050000 
x: -0.11, y: -0.02, b: 0.050000 
x: -0.11, y: 0.00, b: 0.050000 
x: -0.11, y: 0.02, b: 0.050000 
x: -0.11, y: 0.04, b: 0.050000 
x: -0.11, y: 0.06, b: 0.050000 
x: -0.11, y: 0.08, b: 0.050000 
x: -0.11, y: 0.10, b: 0.050000 
x: -0.11, y: 0.12, b: 0.050000 
x: -0.11, y: 0.14, b: 0.050000 
x: -0.11, y: 0.16, b: 0.092215 
x: -0.11, y: 0.18, b: 0.185997 
x: -0.11, y: 0.20, b: 0.296684 
x: -0.11, y: 0.22, b: 0.441812 
x: -0.10, y: -0.22, b: 0.050000 
x: -0.10, y: -0.20, b: 0.050000 
x: -0.10, y: -0.18, b: 0.050000 
x: -0.10, y: -0.16, b: 0.050000 
x: -0.10, y: -0.14, b: 0.050000 
x: -0.10, y: -0.12, b: 0.050000 
x: -0.10, y: -0.10, b: 0.050000 
x: -0.10, y: -0.08, b: 0.050000 
x: -0.10, y: -0.06, b: 0.050000 
x: -0.10, y: -0.04, b: 0.050000 
x: -0.10, y: -0.02, b: 0.050000 
x: -0.10, y: 0.00, b: 0.050000 
x: -0.10, y: 0.02, b: 0.050000 
x: -0.10, y: 0.04, b: 0.050000 
x: -0.10, y: 0.06, b: 0.050000 
x: -0.10, y: 0.08, b: 0.050000 
x: -0.10, y: 0.10, b: 0.050000 
x: -0.10, y: 0.12, b: 0.050000 
x: -0.10, y: 0.14, b: 0.050000 
x: -0.10, y: 0.16, b: 0.083782 
x: -0.10, y: 0.18, b: 0.175594 
x: -0.10, y: 0.20, b: 0.282368 
x: -0.10, y: 0.22, b: 0.418433 
x: -0.09, y: -0.24, b: 0.050000 
x: -0.09, y: -0.22, b: 0.050000 
x: -0.09, y: -0.20, b: 0.050000 
x: -0.09, y: -0.18, b: 0.050000 
x: -0.09, y: -0.16, b: 0.050000 
x: -0.09, y: -0.14, b: 0.050000 
x: -0.09, y: -0.12, b: 0.050000 
x: -0.09, y: -0.10, b: 0.050000 
x: -0.09, y: -0.08, b: 0.050000 
x: -0.09, y: -0.06, b: 0.050000 
x: -0.09, y: -0.04, b: 0.050000 
x: -0.09, y: -0.02, b: 0.050000 
x: -0.09, y: 0.00, b: 0.050000 
x: -0.09, y: 0.02, b: 0.050000 
x: -0.09, y: 0.04, b: 0.050000 
x: -0.09, y: 0.06, b: 0.050000 
x: -0.09, y: 0.08, b: 0.050000 
x: -0.09, y: 0.10, b: 0.050000 
x: -0.09, y: 0.12, b: 0.050000 
x: -0.09, y: 0.14, b: 0.050000 
x: -0.09, y: 0.16, b: 0.076304 
x: -0.09, y: 0.18, b: 0.166408 
x: -0.09, y: 0.20, b: 0.270692 
x: -0.09, y: 0.22, b: 0.399920 
x: -0.09, y: 0.24, b: 0.612820 
x: -0.08, y: -0.24, b: 0.050000 
x: -0.08, y: -0.22, b: 0.050000 
x: -0.08, y: -0.20, b: 0.050000 
x: -0.08, y: -0.18, b: 0.050000 
x: -0.08, y: -0.16, b: 0.050000 
x: -0.08, y: -0.14, b: 0.050000 
x: -0.08, y: -0.12, b: 0.050000 
x: -0.08, y: -0.10, b: 0.050000 
